Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
André Onana,"cm ,CMR",",GK",",29-016",",31",",31",",2,790",",31.0",",0",",0",",0",",0",",0",",0",",0",",0",",0.0,",0.0,",0.2",",0.2",",0",",1",",0",",0.00",",0.00",",0.00",",0.00",",0.00",",0.00",",0.01",",0.01",",0.00",",0.01",
Diogo Dalot,pt POR,DF,26-031,31,31,"2,756",30.6,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.0,62,99,161,0.00,0.10,0.10,0.00,0.10,0.07,0.07,0.13,0.07,0.13,
Bruno Fernandes,pt POR,MF,30-222,31,31,"2,636",29.3,8,9,17,5,3,3,4,2,8.8,6.5,6.8,13.2,60,254,113,0.27,0.31,0.58,0.17,0.48,0.30,0.23,0.53,0.22,0.45,
Noussair Mazraoui,ma MAR,DF,27-155,32,29,"2,475",27.5,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,34,98,44,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07,
Matthijs de Ligt,nl NED,DF,25-249,28,24,"2,089",23.2,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,
Alejandro Garnacho,ar ARG,"MF,FW",20-291,31,20,"1,876",20.8,5,1,6,5,0,0,2,0,6.2,6.2,2.8,8.9,122,47,249,0.24,0.05,0.29,0.24,0.29,0.30,0.13,0.43,0.30,0.43,
Lisandro Martínez,ar ARG,DF,27-090,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,
Manuel Ugarte Ribeiro,uy URU,MF,24-007,24,19,"1,532",17.0,1,0,1,1,0,0,9,0,0.8,0.8,0.6,1.4,9,49,18,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,
Rasmus Højlund,dk DEN,FW,22-073,27,18,"1,585",17.6,3,0,3,3,0,0,2,0,3.3,3.3,1.2,4.5,25,16,80,0.17,0.00,0.17,0.17,0.17,0.19,0.07,0.25,0.19,0.25,
Amad Diallo,ci CIV,"FW,MF",22-281,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,
Harry Maguire,eng ENG,DF,32-044,22,16,"1,418",15.8,1,0,1,1,0,0,7,0,1.4,1.4,0.3,1.6,6,42,5,0.06,0.00,0.06,0.06,0.06,0.09,0.02,0.10,0.09,0.10,
Kobbie Mainoo,eng ENG,MF,19-364,19,15,"1,294",14.4,0,0,0,0,0,0,5,0,0.5,0.5,1.5,2.0,19,54,36,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.14,0.04,0.14,
Casemiro,br BRA,MF,33-054,21,15,"1,271",14.1,1,0,1,1,0,0,3,0,1.5,1.5,2.2,3.7,4,65,26,0.07,0.00,0.07,0.07,0.07,0.10,0.16,0.26,0.10,0.26,
Joshua Zirkzee,nl NED,"FW,MF",23-331,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,
Marcus Rashford,eng ENG,"FW,MF",27-169,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,
Leny Yoro,fr FRA,DF,19-156,17,10,967,10.7,0,0,0,0,0,0,5,0,0.7,0.7,0.0,0.7,16,43,4,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,
Christian Eriksen,dk DEN,MF,33-063,18,10,903,10.0,0,1,1,0,0,0,3,0,0.2,0.2,2.4,2.5,8,41,24,0.00,0.10,0.10,0.00,0.10,0.02,0.24,0.25,0.02,0.25,
Patrick Dorgu,dk DEN,DF,20-174,6,5,438,4.9,0,0,0,0,0,0,1,1,0.3,0.3,0.4,0.8,21,19,44,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,
Mason Mount,eng ENG,"MF,FW",26-098,11,4,316,3.5,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,5,13,10,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.26,0.21,0.26,
Victor Lindelöf,se SWE,DF,30-275,10,3,367,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,
