Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,,
Rasmus Højlund,9,dk DEN,FW,22-026,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Chidozie Obi-Martin,56,dk DEN,FW,17-093,53,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,,
Christian Eriksen,14,dk DEN,AM,33-016,67,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,,
Casemiro,18,br BRA,MF,33-007,53,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,,
Joshua Zirkzee,11,nl NED,AM,23-284,120,0,0,0,0,1,0,0,0,1,3,0,0,1,1,0,,
Diogo Dalot,20,pt POR,DM,25-349,120,0,1,0,0,1,0,0,0,0,1,0,8,3,0,0,,
Bruno Fernandes,8,pt POR,DM,30-175,120,1,0,0,0,3,3,0,0,2,3,0,10,1,1,0,,
Manuel Ugarte Ribeiro,25,uy URU,DM,23-325,52,0,0,0,0,1,0,1,0,1,2,0,1,0,1,0,,
Alejandro Garnacho,17,ar ARG,"FW,MF",20-244,68,0,0,0,0,4,2,0,0,0,0,0,5,1,0,0,,
Noussair Mazraoui,3,ma MAR,DM,27-108,120,0,0,0,0,1,1,0,0,3,1,0,0,1,0,0,,
Leny Yoro,15,fr FRA,CB,19-109,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Victor Lindelöf,2,se SWE,DF,30-228,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Harry Maguire,5,eng ENG,CB,31-362,90,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,,
Ayden Heaven,26,eng ENG,DF,18-161,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,
Matthijs de Ligt,4,nl NED,CB,25-202,120,0,0,0,0,1,0,0,0,1,0,0,1,5,2,0,,
André Onana,24,cm CMR,GK,28-334,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
